,name,value,year,rank,prevValue
0,Ernie Calverley,202,1947,0,0
1,Kenny Sailors,134,1947,0,0
2,Ossie Schectman,109,1947,0,0
3,Howie Dallmar,104,1947,0,0
4,Stan Miasek,93,1947,0,0
5,Mickey Rottner,93,1947,0,0
6,Leo Mogus,84,1947,0,0
7,Earl Shannon,84,1947,0,0
8,John Logan,78,1947,0,0
9,Bob Feerick,69,1947,0,0
10,Bones McKinney,69,1947,0,0
11,Mel Riebe,67,1947,0,0
12,Jim Seminoff,63,1947,0,0
13,Connie Simmons,62,1947,0,0
14,Al Brightman,60,1947,0,0
15,John Mahnken,60,1947,0,0
16,Don Carlson,59,1947,0,0
17,Dino Martin,59,1947,0,0
18,Mike McCarron,59,1947,0,0
19,Jack Garfinkel,58,1947,0,0
20,Ernie Calverley,321,1948,0,202
21,Howie Dallmar,224,1948,0,104
22,Kenny Sailors,193,1948,0,134
23,Jim Seminoff,152,1948,0,63
24,John Logan,140,1948,0,78
25,Mickey Rottner,139,1948,0,93
26,Earl Shannon,133,1948,0,84
27,Bob Feerick,125,1948,0,69
28,Stan Miasek,124,1948,0,93
29,Ed Sadowski,120,1948,0,0
30,Jack Garfinkel,117,1948,0,58
31,Fred Scolari,116,1948,0,0
32,Ossie Schectman,109,1948,0,109
33,Mel Riebe,108,1948,0,67
34,Stan Stutz,106,1948,0,0
35,Bones McKinney,105,1948,0,69
36,Chuck Gilmur,98,1948,0,0
37,Grady Lewis,95,1948,0,0
38,Johnny Norlander,94,1948,0,0
39,John Mahnken,91,1948,0,60
40,Ernie Calverley,572,1949,0,321
41,John Logan,416,1949,0,140
42,Kenny Sailors,402,1949,0,193
43,Andy Phillip,393,1949,0,0
44,Jim Seminoff,381,1949,0,152
45,Howie Dallmar,340,1949,0,224
46,Bob Davies,321,1949,0,0
47,George Senesky,319,1949,0,0
48,Bob Feerick,313,1949,0,125
49,Ed Sadowski,280,1949,0,120
50,Carl Braun,234,1949,0,0
51,Don Carlson,229,1949,0,59
52,Chuck Gilmur,223,1949,0,98
53,Bones McKinney,219,1949,0,105
54,George Mikan,218,1949,0,0
55,Max Zaslofsky,218,1949,0,0
56,John Mahnken,216,1949,0,91
57,Fred Scolari,216,1949,0,116
58,Gene Vance,216,1949,0,0
59,Mel Riebe,212,1949,0,108
60,Andy Phillip,770,1950,0,393
61,John Logan,656,1950,0,416
62,Kenny Sailors,631,1950,0,402
63,Jim Seminoff,630,1950,0,381
64,Bob Davies,615,1950,0,321
65,George Senesky,583,1950,0,319
66,Ernie Calverley,572,1950,0,572
67,Carl Braun,481,1950,0,234
68,Bob Feerick,440,1950,0,313
69,Belus Smawley,426,1950,0,0
70,Ed Sadowski,416,1950,0,280
71,George Mikan,415,1950,0,218
72,Bobby Wanzer,400,1950,0,0
73,Jim Pollard,394,1950,0,0
74,Fred Scolari,391,1950,0,216
75,Herm Schaefer,388,1950,0,0
76,Dick McGuire,386,1950,0,0
77,Bruce Hale,382,1950,0,0
78,Sonny Hertzberg,374,1950,0,0
79,Max Zaslofsky,373,1950,0,218
