,name,value,year,rank,prevValue
0,Elmore Smith,393,1974,0,0
1,Kareem Abdul-Jabbar,283,1974,0,0
2,Bob Lanier,247,1974,0,0
3,Bob McAdoo,246,1974,0,0
4,Elvin Hayes,240,1974,0,0
5,Gar Heard,230,1974,0,0
6,Sam Lacey,184,1974,0,0
7,Nate Thurmond,179,1974,0,0
8,Clifford Ray,173,1974,0,0
9,George Johnson,124,1974,0,0
10,Spencer Haywood,106,1974,0,0
11,Zaid Abdul-Aziz,104,1974,0,0
12,Dave Cowens,101,1974,0,0
13,Curtis Perry,97,1974,0,0
14,Leroy Ellis,87,1974,0,0
15,Connie Hawkins,81,1974,0,0
16,Cliff Meely,77,1974,0,0
17,Dwight Davis,74,1974,0,0
18,Jim Washington,74,1974,0,0
19,Lloyd Neal,73,1974,0,0
20,Elmore Smith,609,1975,0,393
21,Kareem Abdul-Jabbar,495,1975,0,283
22,Elvin Hayes,427,1975,0,240
23,Bob McAdoo,420,1975,0,246
24,Bob Lanier,419,1975,0,247
25,Nate Thurmond,374,1975,0,179
26,Sam Lacey,352,1975,0,184
27,Gar Heard,350,1975,0,230
28,Clifford Ray,289,1975,0,173
29,George Johnson,260,1975,0,124
30,Spencer Haywood,214,1975,0,106
31,Zaid Abdul-Aziz,178,1975,0,104
32,Curtis Perry,175,1975,0,97
33,Dave Cowens,174,1975,0,101
34,John Gianelli,160,1975,0,0
35,Lloyd Neal,160,1975,0,73
36,Tom Burleson,153,1975,0,0
37,Sidney Wicks,143,1975,0,0
38,Leroy Ellis,142,1975,0,87
39,Kevin Kunnert,138,1975,0,0
40,Elmore Smith,847,1976,0,609
41,Kareem Abdul-Jabbar,833,1976,0,495
42,Elvin Hayes,629,1976,0,427
43,Bob McAdoo,580,1976,0,420
44,Bob Lanier,505,1976,0,419
45,Sam Lacey,486,1976,0,352
46,Nate Thurmond,472,1976,0,374
47,Gar Heard,446,1976,0,350
48,George Johnson,434,1976,0,260
49,Clifford Ray,372,1976,0,289
50,Tom Burleson,303,1976,0,153
51,Spencer Haywood,294,1976,0,214
52,Lloyd Neal,267,1976,0,160
53,Dave Cowens,245,1976,0,174
54,Kevin Kunnert,243,1976,0,138
55,Curtis Perry,241,1976,0,175
56,Otto Moore,225,1976,0,0
57,Harvey Catchings,224,1976,0,0
58,John Gianelli,222,1976,0,160
59,Jim Chones,213,1976,0,0
60,Kareem Abdul-Jabbar,1094,1977,0,833
61,Elmore Smith,991,1977,0,847
62,Elvin Hayes,849,1977,0,629
63,Bob McAdoo,679,1977,0,580
64,Bob Lanier,631,1977,0,505
65,Sam Lacey,619,1977,0,486
66,George Johnson,611,1977,0,434
67,Nate Thurmond,553,1977,0,472
68,Gar Heard,501,1977,0,446
69,Clifford Ray,453,1977,0,372
70,Tom Burleson,420,1977,0,303
71,Bill Walton,387,1977,0,0
72,Kevin Kunnert,348,1977,0,243
73,Otto Moore,342,1977,0,225
74,Spencer Haywood,323,1977,0,294
75,John Gianelli,320,1977,0,222
76,Harvey Catchings,302,1977,0,224
77,Lloyd Neal,302,1977,0,267
78,Dave Cowens,294,1977,0,245
79,Jim Chones,290,1977,0,213
80,Kareem Abdul-Jabbar,1279,1978,0,1094
81,Elmore Smith,1167,1978,0,991
82,Elvin Hayes,1008,1978,0,849
83,George Johnson,885,1978,0,611
84,Bob McAdoo,805,1978,0,679
85,Sam Lacey,727,1978,0,619
86,Bob Lanier,724,1978,0,631
87,Gar Heard,602,1978,0,501
88,Nate Thurmond,553,1978,0,553
89,Clifford Ray,543,1978,0,453
90,Bill Walton,533,1978,0,387
91,Tom Burleson,501,1978,0,420
92,Kevin Kunnert,438,1978,0,348
93,John Gianelli,412,1978,0,320
94,Spencer Haywood,395,1978,0,323
95,Artis Gilmore,384,1978,0,0
96,Harvey Catchings,369,1978,0,302
