,name,value,year,rank,prevValue
0,Elvin Hayes,1109,1974,0,0
1,Dave Cowens,993,1974,0,0
2,Kareem Abdul-Jabbar,891,1974,0,0
3,Bob McAdoo,836,1974,0,0
4,Bob Lanier,805,1974,0,0
5,Sam Lacey,762,1974,0,0
6,Happy Hairston,705,1974,0,0
7,Elmore Smith,702,1974,0,0
8,Clifford Ray,692,1974,0,0
9,Spencer Haywood,689,1974,0,0
10,Gar Heard,677,1974,0,0
11,Zaid Abdul-Aziz,664,1974,0,0
12,Nate Thurmond,629,1974,0,0
13,Dave DeBusschere,623,1974,0,0
14,Neal Walk,602,1974,0,0
15,Leroy Ellis,598,1974,0,0
16,Paul Silas,581,1974,0,0
17,Steve Mix,559,1974,0,0
18,Jim Washington,528,1974,0,0
19,Sidney Wicks,488,1974,0,0
20,Elvin Hayes,1892,1975,0,1109
21,Dave Cowens,1722,1975,0,993
22,Bob McAdoo,1684,1975,0,836
23,Sam Lacey,1683,1975,0,762
24,Kareem Abdul-Jabbar,1609,1975,0,891
25,Bob Lanier,1494,1975,0,805
26,Happy Hairston,1347,1975,0,705
27,Clifford Ray,1303,1975,0,692
28,Elmore Smith,1302,1975,0,702
29,Nate Thurmond,1274,1975,0,629
30,Paul Silas,1258,1975,0,581
31,Gar Heard,1158,1975,0,677
32,Sidney Wicks,1134,1975,0,488
33,Wes Unseld,1124,1975,0,0
34,Spencer Haywood,1121,1975,0,689
35,Curtis Perry,1054,1975,0,0
36,Zaid Abdul-Aziz,998,1975,0,664
37,Leroy Ellis,985,1975,0,598
38,Rudy Tomjanovich,916,1975,0,0
39,Steve Mix,904,1975,0,559
40,Kareem Abdul-Jabbar,2720,1976,0,1609
41,Dave Cowens,2633,1976,0,1722
42,Elvin Hayes,2560,1976,0,1892
43,Sam Lacey,2489,1976,0,1683
44,Bob McAdoo,2408,1976,0,1684
45,Bob Lanier,2023,1976,0,1494
46,Elmore Smith,1994,1976,0,1302
47,Paul Silas,1918,1976,0,1258
48,Wes Unseld,1889,1976,0,1124
49,Clifford Ray,1809,1976,0,1303
50,Gar Heard,1780,1976,0,1158
51,Spencer Haywood,1765,1976,0,1121
52,Sidney Wicks,1601,1976,0,1134
53,Nate Thurmond,1574,1976,0,1274
54,Curtis Perry,1541,1976,0,1054
55,Rudy Tomjanovich,1415,1976,0,916
56,Cornell Warner,1364,1976,0,0
57,Steve Mix,1351,1976,0,904
58,Happy Hairston,1347,1976,0,1347
59,Lloyd Neal,1285,1976,0,0
60,Kareem Abdul-Jabbar,3544,1977,0,2720
61,Elvin Hayes,3300,1977,0,2560
62,Dave Cowens,3183,1977,0,2633
63,Bob McAdoo,3135,1977,0,2408
64,Sam Lacey,3034,1977,0,2489
65,Bob Lanier,2568,1977,0,2023
66,Wes Unseld,2523,1977,0,1889
67,Elmore Smith,2319,1977,0,1994
68,Paul Silas,2288,1977,0,1918
69,Clifford Ray,2225,1977,0,1809
70,Sidney Wicks,2157,1977,0,1601
71,Gar Heard,2100,1977,0,1780
72,Spencer Haywood,1968,1977,0,1765
73,Rudy Tomjanovich,1927,1977,0,1415
74,Nate Thurmond,1827,1977,0,1574
75,Curtis Perry,1787,1977,0,1541
76,Jim Brewer,1701,1977,0,0
77,Bill Walton,1621,1977,0,0
78,Steve Mix,1600,1977,0,1351
79,Curtis Rowe,1600,1977,0,0
80,Kareem Abdul-Jabbar,4159,1978,0,3544
81,Elvin Hayes,4040,1978,0,3300
82,Dave Cowens,4013,1978,0,3183
83,Bob McAdoo,3909,1978,0,3135
84,Sam Lacey,3521,1978,0,3034
85,Wes Unseld,3192,1978,0,2523
86,Bob Lanier,3086,1978,0,2568
87,Elmore Smith,2819,1978,0,2319
88,Clifford Ray,2747,1978,0,2225
89,Paul Silas,2665,1978,0,2288
90,Sidney Wicks,2607,1978,0,2157
91,Gar Heard,2586,1978,0,2100
92,Spencer Haywood,2269,1978,0,1968
