,name,value,year,rank,prevValue
0,Stan Miasek,5.7,1947,0,0
1,John Logan,5.3,1947,0,0
2,Bones McKinney,4.9,1947,0,0
3,John Mahnken,4.8,1947,0,0
4,Fred Scolari,4.6,1947,0,0
5,Bob Feerick,4.5,1947,0,0
6,Ariel Maughan,4.4,1947,0,0
7,John Barr,4.2,1947,0,0
8,Irv Torgoff,3.9,1947,0,0
9,Bob Doll,3.8,1947,0,0
10,John Janisch,3.8,1947,0,0
11,Grady Lewis,3.6,1947,0,0
12,Johnny Norlander,3.6,1947,0,0
13,Joe Fulks,3.3,1947,0,0
14,Howie Dallmar,3.1,1947,0,0
15,Don Putman,3.0,1947,0,0
16,Aubrey Davis,2.7,1947,0,0
17,Harold Brown,2.6,1947,0,0
18,Bob Dille,2.6,1947,0,0
19,George Munroe,2.5,1947,0,0
20,John Logan,8.3,1948,0,5.3
21,Bones McKinney,7.8,1948,0,4.9
22,Howie Dallmar,7.7,1948,0,3.1
23,Fred Scolari,7.7,1948,0,4.6
24,Bob Feerick,7.6,1948,0,4.5
25,Stan Miasek,7.6,1948,0,5.7
26,John Mahnken,7.2,1948,0,4.8
27,Joe Fulks,7.1,1948,0,3.3
28,Irv Torgoff,6.3,1948,0,3.9
29,Johnny Norlander,5.8,1948,0,3.6
30,Bob Doll,5.7,1948,0,3.8
31,Grady Lewis,5.3,1948,0,3.6
32,Ariel Maughan,5.0,1948,0,4.4
33,Chick Halbert,4.8,1948,0,0
34,Don Putman,4.6,1948,0,3.0
35,Jerry Fleishman,4.4,1948,0,0
36,John Barr,4.2,1948,0,4.2
37,George Senesky,4.2,1948,0,0
38,John Janisch,3.8,1948,0,3.8
39,Bud Palmer,3.8,1948,0,0
40,Bones McKinney,10.6,1949,0,7.8
41,Joe Fulks,10.5,1949,0,7.1
42,Bob Feerick,10.4,1949,0,7.6
43,Stan Miasek,10.1,1949,0,7.6
44,John Mahnken,10.0,1949,0,7.2
45,Fred Scolari,9.9,1949,0,7.7
46,Howie Dallmar,9.2,1949,0,7.7
47,John Logan,8.2,1949,0,8.3
48,Bob Doll,7.7,1949,0,5.7
49,Johnny Norlander,7.5,1949,0,5.8
50,Max Zaslofsky,7.2,1949,0,0
51,Irv Torgoff,6.9,1949,0,6.3
52,Jim Seminoff,6.8,1949,0,0
53,George Senesky,6.5,1949,0,4.2
54,Jerry Fleishman,6.2,1949,0,4.4
55,Chuck Gilmur,6.2,1949,0,0
56,Chick Halbert,6.2,1949,0,4.8
57,Bud Palmer,6.2,1949,0,3.8
58,Lee Knorek,5.8,1949,0,0
59,Andy Phillip,5.6,1949,0,0
60,Joe Fulks,14.2,1950,0,10.5
61,Stan Miasek,13.0,1950,0,10.1
62,Bones McKinney,12.3,1950,0,10.6
63,Fred Scolari,12.2,1950,0,9.9
64,Bob Feerick,12.0,1950,0,10.4
65,John Mahnken,11.6,1950,0,10.0
66,Max Zaslofsky,10.8,1950,0,7.2
67,Andy Phillip,10.2,1950,0,5.6
68,George Senesky,10.2,1950,0,6.5
69,Howie Dallmar,9.2,1950,0,9.2
70,John Logan,9.1,1950,0,8.2
71,George Mikan,9.0,1950,0,0
72,Bob Doll,8.6,1950,0,7.7
73,Jerry Fleishman,8.3,1950,0,6.2
74,Chuck Gilmur,8.2,1950,0,6.2
75,Johnny Norlander,8.2,1950,0,7.5
76,Jim Seminoff,8.2,1950,0,6.8
77,Kleggie Hermsen,8.1,1950,0,0
78,Charlie Black,7.8,1950,0,0
79,Chick Halbert,7.4,1950,0,6.2
80,Joe Fulks,18.7,1951,0,14.2
81,George Mikan,16.5,1951,0,9.0
82,Andy Phillip,15.0,1951,0,10.2
83,George Senesky,14.1,1951,0,10.2
84,Stan Miasek,13.0,1951,0,13.0
85,Bones McKinney,12.9,1951,0,12.3
86,John Mahnken,12.3,1951,0,11.6
87,Fred Scolari,12.2,1951,0,12.2
88,Bob Feerick,12.0,1951,0,12.0
89,Max Zaslofsky,11.7,1951,0,10.8
90,John Logan,10.1,1951,0,9.1
91,Jim Pollard,10.0,1951,0,0
92,Howie Dallmar,9.2,1951,0,9.2
93,Bob Doll,8.6,1951,0,8.6
94,Vern Mikkelsen,8.6,1951,0,0
95,Chuck Gilmur,8.4,1951,0,8.2
96,Frankie Brian,8.3,1951,0,0
97,Jerry Fleishman,8.3,1951,0,8.3
98,Johnny Norlander,8.2,1951,0,8.2
99,Jim Seminoff,8.2,1951,0,8.2
100,George Mikan,24.4,1952,0,16.5
101,Joe Fulks,19.4,1952,0,18.7
102,Jim Pollard,16.6,1952,0,10.0
103,Andy Phillip,16.3,1952,0,15.0
104,Vern Mikkelsen,15.3,1952,0,8.6
105,George Senesky,14.9,1952,0,14.1
106,Stan Miasek,14.5,1952,0,13.0
107,Bones McKinney,13.9,1952,0,12.9
108,Fred Scolari,13.3,1952,0,12.2
109,John Mahnken,12.9,1952,0,12.3
110,Max Zaslofsky,12.8,1952,0,11.7
111,Bob Feerick,12.0,1952,0,12.0
112,Dolph Schayes,11.9,1952,0,0
113,Slater Martin,10.2,1952,0,0
114,Frankie Brian,10.1,1952,0,8.3
115,John Logan,10.1,1952,0,10.1
116,Fred Schaus,10.0,1952,0,0
117,Red Rocha,9.4,1952,0,0
118,Howie Dallmar,9.2,1952,0,9.2
119,Bill Closs,8.9,1952,0,0
120,George Mikan,31.3,1953,0,24.4
121,Jim Pollard,21.0,1953,0,16.6
122,Joe Fulks,20.5,1953,0,19.4
123,Vern Mikkelsen,20.2,1953,0,15.3
124,Dolph Schayes,17.0,1953,0,11.9
125,Andy Phillip,16.3,1953,0,16.3
126,George Senesky,16.1,1953,0,14.9
127,Stan Miasek,15.9,1953,0,14.5
128,Fred Scolari,14.0,1953,0,13.3
129,Bones McKinney,13.9,1953,0,13.9
130,John Mahnken,13.6,1953,0,12.9
131,Max Zaslofsky,13.5,1953,0,12.8
132,Slater Martin,13.4,1953,0,10.2
133,Fred Schaus,12.8,1953,0,10.0
134,Red Rocha,12.6,1953,0,9.4
135,Bob Feerick,12.0,1953,0,12.0
136,Arnie Risen,12.0,1953,0,0
137,Leo Barnhorst,11.7,1953,0,0
138,Frankie Brian,11.4,1953,0,10.1
139,Jack Coleman,10.9,1953,0,0
140,George Mikan,37.9,1954,0,31.3
141,Jim Pollard,25.4,1954,0,21.0
142,Vern Mikkelsen,24.5,1954,0,20.2
143,Dolph Schayes,23.3,1954,0,17.0
144,Joe Fulks,20.9,1954,0,20.5
145,Andy Phillip,19.1,1954,0,16.3
146,Arnie Risen,16.9,1954,0,12.0
147,Slater Martin,16.6,1954,0,13.4
148,George Senesky,16.6,1954,0,16.1
149,Stan Miasek,15.9,1954,0,15.9
150,Jack Coleman,15.3,1954,0,10.9
151,Fred Scolari,15.2,1954,0,14.0
152,Max Zaslofsky,14.7,1954,0,13.5
153,Larry Foust,14.1,1954,0,0
154,Bones McKinney,13.9,1954,0,13.9
155,Fred Schaus,13.8,1954,0,12.8
156,Harry Gallatin,13.7,1954,0,0
157,Paul Seymour,13.7,1954,0,0
158,John Mahnken,13.6,1954,0,13.6
159,Bob Davies,13.1,1954,0,0
160,George Mikan,37.9,1955,0,37.9
161,Dolph Schayes,29.0,1955,0,23.3
162,Vern Mikkelsen,28.1,1955,0,24.5
163,Jim Pollard,28.0,1955,0,25.4
164,Andy Phillip,22.0,1955,0,19.1
165,Joe Fulks,20.9,1955,0,20.9
166,Slater Martin,19.8,1955,0,16.6
167,Arnie Risen,18.5,1955,0,16.9
168,Paul Seymour,18.2,1955,0,13.7
169,Jack Coleman,17.2,1955,0,15.3
170,Larry Foust,17.2,1955,0,14.1
171,Harry Gallatin,17.0,1955,0,13.7
172,George Senesky,16.6,1955,0,16.6
173,Red Rocha,16.4,1955,0,12.6
174,Max Zaslofsky,16.4,1955,0,14.7
175,Stan Miasek,15.9,1955,0,15.9
176,Fred Scolari,15.5,1955,0,15.2
