,name,value,year,rank,prevValue
0,Brian Taylor,90,1980,0,0
1,Rick Barry,73,1980,0,0
2,Chris Ford,70,1980,0,0
3,Joe Hassett,69,1980,0,0
4,Larry Bird,58,1980,0,0
5,John Roche,49,1980,0,0
6,Mike Newlin,45,1980,0,0
7,Freeman Williams,42,1980,0,0
8,Fred Brown,39,1980,0,0
9,Brian Winters,38,1980,0,0
10,Kevin Grevey,34,1980,0,0
11,George Gervin,32,1980,0,0
12,Reggie Theus,28,1980,0,0
13,Micheal Ray Richardson,27,1980,0,0
14,Paul Westphal,26,1980,0,0
15,Terry Furlow,24,1980,0,0
16,Bingo Smith,23,1980,0,0
17,Ron Lee,22,1980,0,0
18,Rudy Tomjanovich,22,1980,0,0
19,Mike Bratz,21,1980,0,0
20,Brian Taylor,134,1981,0,90
21,Joe Hassett,122,1981,0,69
22,Chris Ford,106,1981,0,70
23,Freeman Williams,90,1981,0,42
24,Kevin Grevey,79,1981,0,34
25,Larry Bird,78,1981,0,58
26,Mike Bratz,78,1981,0,21
27,Rick Barry,73,1981,0,73
28,Fred Brown,62,1981,0,39
29,John Roche,58,1981,0,49
30,Brian Winters,56,1981,0,38
31,Mike Newlin,55,1981,0,45
32,Micheal Ray Richardson,50,1981,0,27
33,Reggie Theus,46,1981,0,28
34,Henry Bibby,43,1981,0,0
35,George Gervin,41,1981,0,32
36,Don Buse,38,1981,0,0
37,Ricky Sobers,38,1981,0,0
38,Rudy Tomjanovich,34,1981,0,22
39,Scott Wedman,32,1981,0,0
40,Joe Hassett,193,1982,0,122
41,Brian Taylor,157,1982,0,134
42,Chris Ford,126,1982,0,106
43,Mike Bratz,124,1982,0,78
44,Freeman Williams,118,1982,0,90
45,Don Buse,111,1982,0,38
46,Kevin Grevey,107,1982,0,79
47,Brian Winters,92,1982,0,56
48,Larry Bird,89,1982,0,78
49,Fred Brown,87,1982,0,62
50,John Roche,81,1982,0,58
51,Rick Barry,73,1982,0,73
52,Reggie Theus,71,1982,0,46
53,Micheal Ray Richardson,69,1982,0,50
54,Mike Newlin,62,1982,0,55
55,Ricky Sobers,57,1982,0,38
56,George Gervin,51,1982,0,41
