,name,value,year,rank,prevValue
0,Joe Fulks,1557,1947,0,0
1,Stan Miasek,1154,1947,0,0
2,Ernie Calverley,1102,1947,0,0
3,John Logan,1043,1947,0,0
4,Dino Martin,1022,1947,0,0
5,Max Zaslofsky,1020,1947,0,0
6,Hank Beenders,1016,1947,0,0
7,Fred Scolari,989,1947,0,0
8,Bones McKinney,987,1947,0,0
9,John Janisch,983,1947,0,0
10,Ariel Maughan,929,1947,0,0
11,Chick Halbert,915,1947,0,0
12,Bob Feerick,908,1947,0,0
13,Mel Riebe,898,1947,0,0
14,Ed Sadowski,891,1947,0,0
15,Leo Mogus,879,1947,0,0
16,John Mahnken,876,1947,0,0
17,Al Brightman,870,1947,0,0
18,Frankie Baumholtz,856,1947,0,0
19,Don Carlson,845,1947,0,0
20,Joe Fulks,2815,1948,0,1557
21,Max Zaslofsky,2176,1948,0,1020
22,Stan Miasek,2021,1948,0,1154
23,Ernie Calverley,1937,1948,0,1102
24,Ed Sadowski,1844,1948,0,891
25,John Logan,1777,1948,0,1043
26,Bob Feerick,1769,1948,0,908
27,Fred Scolari,1769,1948,0,989
28,Bones McKinney,1667,1948,0,987
29,Mel Riebe,1551,1948,0,898
30,Chick Halbert,1520,1948,0,915
31,Howie Dallmar,1491,1948,0,0
32,Kenny Sailors,1430,1948,0,0
33,Bob Doll,1426,1948,0,0
34,John Mahnken,1402,1948,0,876
35,George Nostrand,1316,1948,0,0
36,Connie Simmons,1313,1948,0,0
37,Angelo Musi,1303,1948,0,0
38,Hank Beenders,1285,1948,0,1016
39,Johnny Norlander,1241,1948,0,0
40,Joe Fulks,4504,1949,0,2815
41,Max Zaslofsky,3392,1949,0,2176
42,Ed Sadowski,2683,1949,0,1844
43,Ernie Calverley,2633,1949,0,1937
44,John Logan,2593,1949,0,1777
45,Stan Miasek,2509,1949,0,2021
46,Bob Feerick,2477,1949,0,1769
47,Bones McKinney,2468,1949,0,1667
48,Fred Scolari,2402,1949,0,1769
49,Kenny Sailors,2336,1949,0,1430
50,John Mahnken,2232,1949,0,1402
51,Chick Halbert,2167,1949,0,1520
52,Mel Riebe,2140,1949,0,1551
53,Connie Simmons,2107,1949,0,1313
54,Belus Smawley,1986,1949,0,0
55,George Nostrand,1967,1949,0,1316
56,Kleggie Hermsen,1953,1949,0,0
57,Angelo Musi,1921,1949,0,1303
58,Bud Palmer,1916,1949,0,0
59,Bob Doll,1864,1949,0,1426
60,Joe Fulks,5713,1950,0,4504
