,name,value,year,rank,prevValue
0,Joe Fulks,439,1947,0,0
1,Leo Mogus,235,1947,0,0
2,Stan Miasek,233,1947,0,0
3,Coulby Gunther,226,1947,0,0
4,Ed Sadowski,219,1947,0,0
5,Chick Halbert,213,1947,0,0
6,Max Zaslofsky,205,1947,0,0
7,Ernie Calverley,199,1947,0,0
8,Bob Feerick,198,1947,0,0
9,Earl Shannon,197,1947,0,0
10,John Logan,190,1947,0,0
11,Hank Beenders,181,1947,0,0
12,Johnny Norlander,180,1947,0,0
13,Mike McCarron,177,1947,0,0
14,Fred Scolari,146,1947,0,0
15,Bones McKinney,145,1947,0,0
16,Hank Rosenstein,144,1947,0,0
17,Bob Doll,134,1947,0,0
18,Stan Stutz,133,1947,0,0
19,John Janisch,131,1947,0,0
20,Joe Fulks,736,1948,0,439
21,Ed Sadowski,513,1948,0,219
22,Max Zaslofsky,466,1948,0,205
23,Stan Miasek,423,1948,0,233
24,John Logan,392,1948,0,190
25,Bob Feerick,387,1948,0,198
26,Chick Halbert,353,1948,0,213
27,Johnny Norlander,315,1948,0,180
28,Earl Shannon,313,1948,0,197
29,Ernie Calverley,306,1948,0,199
30,Howie Dallmar,287,1948,0,0
31,Fred Scolari,277,1948,0,146
32,Bones McKinney,266,1948,0,145
33,Bud Palmer,255,1948,0,0
34,Stan Stutz,246,1948,0,133
35,Leo Mogus,235,1948,0,235
36,Irv Torgoff,233,1948,0,0
37,Hank Beenders,232,1948,0,181
38,Bob Doll,232,1948,0,134
39,Kenny Sailors,229,1948,0,0
40,Joe Fulks,1238,1949,0,736
41,Max Zaslofsky,813,1949,0,466
42,Ed Sadowski,753,1949,0,513
43,Bob Feerick,643,1949,0,387
44,John Logan,631,1949,0,392
45,Chick Halbert,567,1949,0,353
46,Stan Miasek,536,1949,0,423
47,George Mikan,532,1949,0,0
48,Kenny Sailors,510,1949,0,229
49,Bud Palmer,489,1949,0,255
50,Bones McKinney,463,1949,0,266
51,Kleggie Hermsen,434,1949,0,0
52,Johnny Norlander,431,1949,0,315
53,Ernie Calverley,427,1949,0,306
54,Fred Scolari,423,1949,0,277
55,Leo Mogus,412,1949,0,235
56,George Nostrand,392,1949,0,0
57,Stan Stutz,377,1949,0,246
58,Connie Simmons,371,1949,0,0
59,Howie Dallmar,370,1949,0,287
60,Joe Fulks,1531,1950,0,1238
61,Max Zaslofsky,1134,1950,0,813
62,George Mikan,1099,1950,0,532
