,name,value,year,rank,prevValue
0,Joe Fulks,601,1947,0,0
1,Stan Miasek,385,1947,0,0
2,Chick Halbert,356,1947,0,0
3,Coulby Gunther,351,1947,0,0
4,Earl Shannon,348,1947,0,0
5,Ed Sadowski,328,1947,0,0
6,Leo Mogus,325,1947,0,0
7,Mike McCarron,288,1947,0,0
8,Ernie Calverley,283,1947,0,0
9,Max Zaslofsky,278,1947,0,0
10,Johnny Norlander,276,1947,0,0
11,Bob Feerick,260,1947,0,0
12,Hank Beenders,257,1947,0,0
13,John Logan,254,1947,0,0
14,Hank Rosenstein,225,1947,0,0
15,Bones McKinney,210,1947,0,0
16,George Nostrand,210,1947,0,0
17,Bob Doll,206,1947,0,0
18,Howie Dallmar,203,1947,0,0
19,Kenny Sailors,200,1947,0,0
20,Joe Fulks,991,1948,0,601
21,Ed Sadowski,750,1948,0,328
22,Stan Miasek,695,1948,0,385
23,Max Zaslofsky,611,1948,0,278
24,Chick Halbert,576,1948,0,356
25,Earl Shannon,531,1948,0,348
26,John Logan,526,1948,0,254
27,Bob Feerick,500,1948,0,260
28,Johnny Norlander,458,1948,0,276
29,George Nostrand,449,1948,0,210
30,Ernie Calverley,444,1948,0,283
31,Howie Dallmar,414,1948,0,203
32,Bones McKinney,398,1948,0,210
33,Kenny Sailors,359,1948,0,200
34,Fred Scolari,359,1948,0,0
35,Bud Palmer,355,1948,0,0
36,Bob Doll,354,1948,0,206
37,Coulby Gunther,351,1948,0,351
38,Hank Beenders,339,1948,0,257
39,Kleggie Hermsen,339,1948,0,0
40,Joe Fulks,1629,1949,0,991
41,Ed Sadowski,1100,1949,0,750
42,Max Zaslofsky,1024,1949,0,611
43,Chick Halbert,921,1949,0,576
44,Stan Miasek,911,1949,0,695
45,John Logan,828,1949,0,526
46,Bob Feerick,798,1949,0,500
47,George Nostrand,733,1949,0,449
48,Kenny Sailors,726,1949,0,359
49,George Mikan,689,1949,0,0
50,Bones McKinney,677,1949,0,398
51,Bud Palmer,662,1949,0,355
52,Kleggie Hermsen,650,1949,0,339
53,Johnny Norlander,629,1949,0,458
54,Ernie Calverley,604,1949,0,444
55,Earl Shannon,589,1949,0,531
56,Leo Mogus,568,1949,0,325
57,Connie Simmons,562,1949,0,0
58,Fred Scolari,542,1949,0,359
59,Howie Dallmar,530,1949,0,414
60,Joe Fulks,2050,1950,0,1629
61,Ed Sadowski,1473,1950,0,1100
62,George Mikan,1417,1950,0,689
63,Max Zaslofsky,1405,1950,0,1024
64,Kenny Sailors,1182,1950,0,726
65,John Logan,1151,1950,0,828
66,Stan Miasek,1132,1950,0,911
67,Chick Halbert,1096,1950,0,921
68,Bob Feerick,972,1950,0,798
69,Kleggie Hermsen,897,1950,0,650
70,Leo Mogus,868,1950,0,568
71,Connie Simmons,861,1950,0,562
72,Carl Braun,836,1950,0,0
73,George Nostrand,832,1950,0,733
74,Bones McKinney,829,1950,0,677
75,Fred Scolari,829,1950,0,542
76,Belus Smawley,792,1950,0,0
77,Arnie Risen,783,1950,0,0
78,Red Rocha,737,1950,0,0
79,Johnny Norlander,714,1950,0,629
80,Joe Fulks,2492,1951,0,2050
81,George Mikan,2134,1951,0,1417
82,Max Zaslofsky,1703,1951,0,1405
83,Ed Sadowski,1473,1951,0,1473
84,Kenny Sailors,1362,1951,0,1182
85,Chick Halbert,1344,1951,0,1096
86,John Logan,1235,1951,0,1151
87,Arnie Risen,1223,1951,0,783
88,Alex Groza,1189,1951,0,0
89,Fred Scolari,1160,1951,0,829
90,Ed Macauley,1142,1951,0,0
91,Kleggie Hermsen,1134,1951,0,897
92,Stan Miasek,1132,1951,0,1132
93,Dolph Schayes,1094,1951,0,0
94,Bob Davies,1076,1951,0,0
95,Connie Simmons,1069,1951,0,861
96,Belus Smawley,1059,1951,0,792
