,name,value,year,rank,prevValue
0,Chick Halbert,61,1947,0,0
1,John Logan,61,1947,0,0
2,George Nostrand,61,1947,0,0
3,Red Wallace,61,1947,0,0
4,Ray Wertis,61,1947,0,0
5,Max Zaslofsky,61,1947,0,0
6,Tommy Byrnes,60,1947,0,0
7,Michael Bytzura,60,1947,0,0
8,Howie Dallmar,60,1947,0,0
9,Bob Doll,60,1947,0,0
10,Bob Fitzgerald,60,1947,0,0
11,Dick Fitzgerald,60,1947,0,0
12,Joe Fulks,60,1947,0,0
13,Art Hillhouse,60,1947,0,0
14,John Janisch,60,1947,0,0
15,Grady Lewis,60,1947,0,0
16,John Mahnken,60,1947,0,0
17,Dino Martin,60,1947,0,0
18,Mike McCarron,60,1947,0,0
19,Stan Miasek,60,1947,0,0
20,John Logan,109,1948,0,61
21,Max Zaslofsky,109,1948,0,61
22,Howie Dallmar,108,1948,0,60
23,John Mahnken,108,1948,0,60
24,Stan Miasek,108,1948,0,60
25,Johnny Norlander,108,1948,0,0
26,Jim Seminoff,108,1948,0,0
27,Tommy Byrnes,107,1948,0,60
28,Chick Halbert,107,1948,0,61
29,Stan Stutz,107,1948,0,0
30,Ernie Calverley,106,1948,0,0
31,George Nostrand,106,1948,0,61
32,Giff Roux,106,1948,0,0
33,Jerry Fleishman,105,1948,0,0
34,Ralph Kaplowitz,105,1948,0,0
35,Grady Lewis,105,1948,0,60
36,Dick Schulz,105,1948,0,0
37,Fred Scolari,105,1948,0,0
38,George Senesky,105,1948,0,0
39,Connie Simmons,105,1948,0,0
40,Johnny Norlander,168,1949,0,108
41,Chick Halbert,167,1949,0,107
42,Max Zaslofsky,167,1949,0,109
43,John Logan,166,1949,0,109
44,Stan Miasek,166,1949,0,108
45,George Nostrand,166,1949,0,106
46,Jim Seminoff,166,1949,0,108
47,Stan Stutz,166,1949,0,107
48,Ernie Calverley,165,1949,0,106
49,John Mahnken,165,1949,0,108
50,George Senesky,165,1949,0,105
51,Connie Simmons,165,1949,0,105
52,Tommy Byrnes,164,1949,0,107
53,Jerry Fleishman,164,1949,0,105
54,Joe Fulks,163,1949,0,60
55,Art Spector,162,1949,0,0
56,Bob Feerick,161,1949,0,0
57,Angelo Musi,161,1949,0,0
58,Sonny Hertzberg,160,1949,0,0
59,Ed Sadowski,160,1949,0,0
60,Chick Halbert,235,1950,0,167
61,Max Zaslofsky,235,1950,0,167
62,Stan Miasek,234,1950,0,166
63,George Senesky,233,1950,0,165
64,Joe Fulks,231,1950,0,163
65,Jim Seminoff,231,1950,0,166
66,Jerry Fleishman,229,1950,0,164
67,Ed Sadowski,229,1950,0,160
68,Sonny Hertzberg,228,1950,0,160
69,John Logan,228,1950,0,166
70,John Mahnken,227,1950,0,165
71,Connie Simmons,225,1950,0,165
72,Ariel Maughan,224,1950,0,0
73,Chuck Gilmur,223,1950,0,0
74,Bob Feerick,221,1950,0,161
75,George Nostrand,221,1950,0,166
76,Fred Scolari,219,1950,0,105
77,Tommy Byrnes,217,1950,0,164
78,Don Putman,216,1950,0,0
79,Kenny Sailors,216,1950,0,0
80,Chick Halbert,303,1951,0,235
81,Max Zaslofsky,301,1951,0,235
