,name,value,year,rank,prevValue
0,Paul Arizin,2939,1952,0,0
1,Andy Phillip,2933,1952,0,0
2,Bob Cousy,2681,1952,0,0
3,Frankie Brian,2672,1952,0,0
4,Ed Macauley,2631,1952,0,0
5,Mel Hutchins,2618,1952,0,0
6,Larry Foust,2615,1952,0,0
7,Jack Coleman,2606,1952,0,0
8,Fred Schaus,2581,1952,0,0
9,George Mikan,2572,1952,0,0
10,Jim Pollard,2545,1952,0,0
11,Red Rocha,2543,1952,0,0
12,Bobby Wanzer,2498,1952,0,0
13,Slater Martin,2480,1952,0,0
14,Joe Graboski,2439,1952,0,0
15,Arnie Risen,2396,1952,0,0
16,Bob Davies,2394,1952,0,0
17,Vern Mikkelsen,2345,1952,0,0
18,Leo Barnhorst,2344,1952,0,0
19,Dick Mehen,2294,1952,0,0
20,Bob Cousy,5626,1953,0,2681
21,Andy Phillip,5623,1953,0,2933
22,Ed Macauley,5533,1953,0,2631
23,Mel Hutchins,5509,1953,0,2618
24,Jack Coleman,5231,1953,0,2606
25,George Mikan,5223,1953,0,2572
26,Leo Barnhorst,5215,1953,0,2344
27,Joe Graboski,5208,1953,0,2439
28,Fred Schaus,5122,1953,0,2581
29,Bobby Wanzer,5075,1953,0,2498
30,Slater Martin,5036,1953,0,2480
31,Red Rocha,4997,1953,0,2543
32,Jim Pollard,4948,1953,0,2545
33,Larry Foust,4918,1953,0,2615
34,Paul Seymour,4893,1953,0,0
35,Vern Mikkelsen,4810,1953,0,2345
36,Arnie Risen,4684,1953,0,2396
37,Dolph Schayes,4672,1953,0,0
38,Bob Davies,4610,1953,0,2394
39,Nat Clifton,4597,1953,0,0
40,Bob Cousy,8483,1954,0,5626
41,Mel Hutchins,8443,1954,0,5509
42,Andy Phillip,8328,1954,0,5623
43,Ed Macauley,8325,1954,0,5533
44,Joe Graboski,7967,1954,0,5208
45,Paul Seymour,7620,1954,0,4893
46,Bobby Wanzer,7613,1954,0,5075
47,Larry Foust,7611,1954,0,4918
48,Jack Coleman,7608,1954,0,5231
49,George Mikan,7585,1954,0,5223
50,Slater Martin,7508,1954,0,5036
51,Neil Johnston,7455,1954,0,0
52,Jim Pollard,7431,1954,0,4948
53,Dolph Schayes,7327,1954,0,4672
54,Leo Barnhorst,7279,1954,0,5215
55,Arnie Risen,7069,1954,0,4684
56,Vern Mikkelsen,7057,1954,0,4810
57,Harry Gallatin,6954,1954,0,0
58,George King,6778,1954,0,0
59,Nat Clifton,6776,1954,0,4597
60,Mel Hutchins,11303,1955,0,8443
61,Bob Cousy,11230,1955,0,8483
62,Ed Macauley,11031,1955,0,8325
63,Andy Phillip,10660,1955,0,8328
