,name,value,year,rank,prevValue
0,Elvin Hayes,354,1974,0,0
1,Happy Hairston,335,1974,0,0
2,Paul Silas,334,1974,0,0
3,Spencer Haywood,318,1974,0,0
4,Steve Mix,305,1974,0,0
5,Sam Lacey,293,1974,0,0
6,Leroy Ellis,292,1974,0,0
7,Kareem Abdul-Jabbar,287,1974,0,0
8,Clifford Ray,285,1974,0,0
9,Bob McAdoo,281,1974,0,0
10,Gar Heard,270,1974,0,0
11,Bob Lanier,269,1974,0,0
12,Walt Bellamy,264,1974,0,0
13,Dave Cowens,264,1974,0,0
14,Zaid Abdul-Aziz,259,1974,0,0
15,Rick Roberson,251,1974,0,0
16,Nate Thurmond,249,1974,0,0
17,Jim Fox,244,1974,0,0
18,Curtis Perry,242,1974,0,0
19,Neal Walk,235,1974,0,0
20,Paul Silas,682,1975,0,334
21,Happy Hairston,639,1975,0,335
22,Curtis Perry,589,1975,0,242
23,Bob McAdoo,588,1975,0,281
24,Elvin Hayes,575,1975,0,354
25,Clifford Ray,544,1975,0,285
26,Sam Lacey,521,1975,0,293
27,Spencer Haywood,516,1975,0,318
28,Nate Thurmond,508,1975,0,249
29,Bob Lanier,494,1975,0,269
30,Dave Cowens,493,1975,0,264
31,Leroy Ellis,487,1975,0,292
32,Kareem Abdul-Jabbar,481,1975,0,287
33,Clyde Lee,476,1975,0,0
34,Wes Unseld,470,1975,0,0
35,Steve Mix,460,1975,0,305
36,Gar Heard,455,1975,0,270
37,Sidney Wicks,427,1975,0,0
38,Elmore Smith,414,1975,0,0
39,Rudy Tomjanovich,414,1975,0,0
40,Paul Silas,1047,1976,0,682
41,Bob McAdoo,829,1976,0,588
42,Dave Cowens,828,1976,0,493
43,Clifford Ray,814,1976,0,544
44,Curtis Perry,786,1976,0,589
45,Elvin Hayes,785,1976,0,575
46,Kareem Abdul-Jabbar,753,1976,0,481
47,Spencer Haywood,750,1976,0,516
48,Wes Unseld,741,1976,0,470
49,Sam Lacey,739,1976,0,521
50,Bob Lanier,711,1976,0,494
51,Jim Brewer,710,1976,0,0
52,Gar Heard,702,1976,0,455
53,Steve Mix,675,1976,0,460
54,Sidney Wicks,672,1976,0,427
55,John Drew,643,1976,0,0
56,Clyde Lee,640,1976,0,476
57,Happy Hairston,639,1976,0,639
58,Nate Thurmond,623,1976,0,508
59,Elmore Smith,615,1976,0,414
60,Paul Silas,1283,1977,0,1047
61,Elvin Hayes,1074,1977,0,785
62,Bob McAdoo,1028,1977,0,829
63,Kareem Abdul-Jabbar,1019,1977,0,753
64,Clifford Ray,1013,1977,0,814
65,Jim Brewer,985,1977,0,710
66,Wes Unseld,984,1977,0,741
67,Dave Cowens,975,1977,0,828
68,Sidney Wicks,940,1977,0,672
69,Curtis Perry,935,1977,0,786
70,Sam Lacey,928,1977,0,739
71,John Drew,923,1977,0,643
72,Bob Lanier,911,1977,0,711
73,Spencer Haywood,827,1977,0,750
74,Gar Heard,822,1977,0,702
75,George Johnson,811,1977,0,0
76,Steve Mix,802,1977,0,675
