,name,value,year,rank,prevValue
0,Bob Feerick,14.1,1947,0,0
1,Joe Fulks,13.0,1947,0,0
2,Ed Sadowski,10.8,1947,0,0
3,Coulby Gunther,8.9,1947,0,0
4,Max Zaslofsky,7.6,1947,0,0
5,Earl Shannon,7.0,1947,0,0
6,Leo Mogus,6.3,1947,0,0
7,Johnny Norlander,6.1,1947,0,0
8,Ernie Calverley,5.5,1947,0,0
9,Chick Halbert,5.2,1947,0,0
10,Connie Simmons,5.2,1947,0,0
11,Stan Miasek,4.7,1947,0,0
12,Harry Zeller,4.2,1947,0,0
13,Kenny Sailors,4.0,1947,0,0
14,John Logan,3.9,1947,0,0
15,Hank Rosenstein,3.9,1947,0,0
16,Fred Scolari,3.9,1947,0,0
17,Don Carlson,3.3,1947,0,0
18,Art Hillhouse,3.3,1947,0,0
19,Mel Riebe,3.3,1947,0,0
20,Bob Feerick,21.6,1948,0,14.1
21,Ed Sadowski,19.7,1948,0,10.8
22,Max Zaslofsky,15.3,1948,0,7.6
23,Joe Fulks,15.2,1948,0,13.0
24,Johnny Norlander,9.7,1948,0,6.1
25,John Logan,9.2,1948,0,3.9
26,Coulby Gunther,8.9,1948,0,8.9
27,Stan Miasek,8.2,1948,0,4.7
28,Earl Shannon,8.0,1948,0,7.0
29,Bud Palmer,7.5,1948,0,0
30,Buddy Jeannette,7.0,1948,0,0
31,Fred Scolari,6.4,1948,0,3.9
32,Leo Mogus,6.3,1948,0,6.3
33,Kenny Sailors,6.3,1948,0,4.0
34,Ernie Calverley,5.9,1948,0,5.5
35,Chick Halbert,5.9,1948,0,5.2
36,Connie Simmons,5.9,1948,0,5.2
37,Howie Dallmar,5.3,1948,0,0
38,Mel Riebe,5.2,1948,0,3.3
39,Belus Smawley,4.6,1948,0,0
40,Bob Feerick,27.6,1949,0,21.6
41,Ed Sadowski,27.2,1949,0,19.7
42,Max Zaslofsky,22.0,1949,0,15.3
43,Joe Fulks,19.4,1949,0,15.2
44,George Mikan,17.6,1949,0,0
45,John Logan,14.4,1949,0,9.2
46,Bud Palmer,12.3,1949,0,7.5
47,Johnny Norlander,12.1,1949,0,9.7
48,Kenny Sailors,11.4,1949,0,6.3
49,Buddy Jeannette,11.3,1949,0,7.0
50,Connie Simmons,10.3,1949,0,5.9
51,Belus Smawley,9.9,1949,0,4.6
52,Leo Mogus,9.4,1949,0,6.3
53,Arnie Risen,9.4,1949,0,0
54,Red Rocha,9.3,1949,0,0
55,Stan Miasek,9.2,1949,0,8.2
56,Coulby Gunther,9.1,1949,0,8.9
57,Earl Shannon,8.0,1949,0,8.0
58,Chick Halbert,7.5,1949,0,5.9
59,Fred Scolari,7.3,1949,0,6.4
60,George Mikan,33.0,1950,0,17.6
61,Bob Feerick,29.7,1950,0,27.6
62,Ed Sadowski,29.1,1950,0,27.2
63,Max Zaslofsky,26.8,1950,0,22.0
64,John Logan,17.8,1950,0,14.4
65,Alex Groza,16.5,1950,0,0
66,Kenny Sailors,16.2,1950,0,11.4
67,Red Rocha,15.4,1950,0,9.3
68,Joe Fulks,15.0,1950,0,19.4
69,Leo Mogus,15.0,1950,0,9.4
70,Bobby Wanzer,14.6,1950,0,0
71,Belus Smawley,14.2,1950,0,9.9
72,Buddy Jeannette,13.1,1950,0,11.3
73,Bud Palmer,12.3,1950,0,12.3
74,Johnny Norlander,12.1,1950,0,12.1
75,Stan Miasek,12.0,1950,0,9.2
