,name,value,year,rank,prevValue
0,Stan Miasek,208,1947,0,0
1,Joe Fulks,199,1947,0,0
2,Hank Beenders,196,1947,0,0
3,Ed Sadowski,194,1947,0,0
4,Ernie Calverley,191,1947,0,0
5,Mike McCarron,184,1947,0,0
6,Don Carlson,182,1947,0,0
7,John Mahnken,181,1947,0,0
8,Ariel Maughan,180,1947,0,0
9,Kenny Sailors,177,1947,0,0
10,Harry Zeller,177,1947,0,0
11,Leo Mogus,176,1947,0,0
12,Irv Torgoff,173,1947,0,0
13,Hank Rosenstein,172,1947,0,0
14,Mel Riebe,169,1947,0,0
15,Earl Shannon,169,1947,0,0
16,Bob Doll,167,1947,0,0
17,Red Wallace,167,1947,0,0
18,Grady Lewis,166,1947,0,0
19,John Barr,164,1947,0,0
20,Stan Miasek,400,1948,0,208
21,Ed Sadowski,376,1948,0,194
22,Chuck Gilmur,370,1948,0,0
23,Joe Fulks,361,1948,0,199
24,Ernie Calverley,359,1948,0,191
25,Kenny Sailors,339,1948,0,177
26,Bones McKinney,338,1948,0,0
27,John Mahnken,332,1948,0,181
28,Irv Torgoff,326,1948,0,173
29,Grady Lewis,317,1948,0,166
30,Fred Scolari,312,1948,0,0
31,Mel Riebe,306,1948,0,169
32,Hank Beenders,295,1948,0,196
33,George Nostrand,293,1948,0,0
34,Chick Halbert,287,1948,0,0
35,Howie Dallmar,282,1948,0,0
36,Bob Feerick,281,1948,0,0
37,John Logan,277,1948,0,0
38,Earl Shannon,275,1948,0,169
39,Bob Doll,274,1948,0,167
40,Ed Sadowski,649,1949,0,376
41,Joe Fulks,623,1949,0,361
42,Stan Miasek,608,1949,0,400
43,Kenny Sailors,578,1949,0,339
44,Chuck Gilmur,564,1949,0,370
45,Bones McKinney,554,1949,0,338
46,John Mahnken,547,1949,0,332
47,Ernie Calverley,542,1949,0,359
48,Kleggie Hermsen,497,1949,0,0
49,Lee Knorek,493,1949,0,0
50,John Logan,468,1949,0,277
51,Connie Simmons,467,1949,0,0
52,Bud Palmer,465,1949,0,0
53,Chick Halbert,462,1949,0,287
54,Fred Scolari,462,1949,0,312
55,Red Rocha,460,1949,0,0
56,George Nostrand,457,1949,0,293
57,Jim Seminoff,455,1949,0,0
58,Bob Feerick,452,1949,0,281
59,Irv Torgoff,436,1949,0,326
60,Ed Sadowski,893,1950,0,649
61,Stan Miasek,872,1950,0,608
62,Joe Fulks,863,1950,0,623
63,Chuck Gilmur,839,1950,0,564
64,Kenny Sailors,820,1950,0,578
65,John Mahnken,778,1950,0,547
66,Kleggie Hermsen,764,1950,0,497
67,Bones McKinney,739,1950,0,554
68,Red Rocha,717,1950,0,460
69,John Logan,674,1950,0,468
70,Connie Simmons,670,1950,0,467
71,Fred Scolari,643,1950,0,462
72,Jim Seminoff,609,1950,0,455
73,Chick Reiser,600,1950,0,0
74,Chick Halbert,598,1950,0,462
75,Bob Feerick,592,1950,0,452
76,Max Zaslofsky,587,1950,0,0
77,Ariel Maughan,577,1950,0,180
78,George Nostrand,575,1950,0,457
79,George Mikan,557,1950,0,0
80,Joe Fulks,1110,1951,0,863
81,Kleggie Hermsen,1025,1951,0,764
82,Kenny Sailors,1016,1951,0,820
83,Red Rocha,959,1951,0,717
84,John Mahnken,942,1951,0,778
85,Chuck Gilmur,896,1951,0,839
86,Ed Sadowski,893,1951,0,893
87,Connie Simmons,892,1951,0,670
88,Bones McKinney,875,1951,0,739
89,Stan Miasek,872,1951,0,872
90,George Mikan,865,1951,0,557
91,Fred Scolari,826,1951,0,643
92,Chick Halbert,814,1951,0,598
93,Arnie Johnson,797,1951,0,0
94,John Logan,744,1951,0,674
95,Max Zaslofsky,737,1951,0,587
