,name,value,year,rank,prevValue
0,Dolph Schayes,1080,1951,0,0
1,George Mikan,958,1951,0,0
2,Harry Gallatin,800,1951,0,0
3,Arnie Risen,795,1951,0,0
4,Alex Groza,709,1951,0,0
5,Larry Foust,681,1951,0,0
6,Vern Mikkelsen,655,1951,0,0
7,Paul Arizin,640,1951,0,0
8,Ed Macauley,616,1951,0,0
9,Jack Coleman,584,1951,0,0
10,Chuck Cooper,562,1951,0,0
11,George Ratkovicz,547,1951,0,0
12,Chick Halbert,539,1951,0,0
13,Cal Christensen,523,1951,0,0
14,Joe Fulks,523,1951,0,0
15,Red Rocha,511,1951,0,0
16,Fred Schaus,495,1951,0,0
17,Nat Clifton,491,1951,0,0
18,Jim Pollard,484,1951,0,0
19,Jack Kerris,477,1951,0,0
20,Dolph Schayes,1853,1952,0,1080
21,George Mikan,1824,1952,0,958
22,Arnie Risen,1636,1952,0,795
23,Larry Foust,1561,1952,0,681
24,Harry Gallatin,1461,1952,0,800
25,Paul Arizin,1385,1952,0,640
26,Vern Mikkelsen,1336,1952,0,655
27,Jack Coleman,1276,1952,0,584
28,Nat Clifton,1222,1952,0,491
29,Ed Macauley,1145,1952,0,616
30,Jim Pollard,1077,1952,0,484
31,Chuck Cooper,1064,1952,0,562
32,Red Rocha,1060,1952,0,511
33,Jack Kerris,991,1952,0,477
34,Fred Schaus,929,1952,0,495
35,Connie Simmons,897,1952,0,0
36,Bob Cousy,895,1952,0,0
37,Joe Fulks,891,1952,0,523
38,Mel Hutchins,880,1952,0,0
39,Andy Phillip,880,1952,0,0
40,George Mikan,2831,1953,0,1824
41,Dolph Schayes,2773,1953,0,1853
42,Arnie Risen,2381,1953,0,1636
43,Harry Gallatin,2377,1953,0,1461
44,Larry Foust,2330,1953,0,1561
45,Jack Coleman,2050,1953,0,1276
46,Vern Mikkelsen,1990,1953,0,1336
47,Nat Clifton,1983,1953,0,1222
48,Ed Macauley,1774,1953,0,1145
49,Mel Hutchins,1673,1953,0,880
50,Red Rocha,1570,1953,0,1060
51,Jim Pollard,1529,1953,0,1077
52,Chuck Cooper,1503,1953,0,1064
53,George Ratkovicz,1397,1953,0,547
