,name,value,year,rank,prevValue
0,Kareem Abdul-Jabbar,9.4,1974,0,0
1,Bob Lanier,8.1,1974,0,0
2,Walt Frazier,6.3,1974,0,0
3,Rick Barry,5.7,1974,0,0
4,Bob McAdoo,5.5,1974,0,0
5,Sam Lacey,4.9,1974,0,0
6,Rudy Tomjanovich,4.7,1974,0,0
7,Clifford Ray,4.4,1974,0,0
8,Dave Cowens,3.9,1974,0,0
9,John Havlicek,3.7,1974,0,0
10,Calvin Murphy,3.7,1974,0,0
11,Norm Van Lier,3.6,1974,0,0
12,Spencer Haywood,3.5,1974,0,0
13,Steve Mix,3.5,1974,0,0
14,Lucius Allen,3.4,1974,0,0
15,Fred Brown,3.3,1974,0,0
16,Lou Hudson,3.2,1974,0,0
17,Neal Walk,3.2,1974,0,0
18,Pete Maravich,3.1,1974,0,0
19,Connie Hawkins,3.0,1974,0,0
20,Kareem Abdul-Jabbar,16.4,1975,0,9.4
21,Bob Lanier,15.4,1975,0,8.1
22,Walt Frazier,12.6,1975,0,6.3
23,Rick Barry,11.6,1975,0,5.7
24,Bob McAdoo,11.5,1975,0,5.5
25,Sam Lacey,9.8,1975,0,4.9
26,Dave Cowens,8.5,1975,0,3.9
27,Rudy Tomjanovich,7.7,1975,0,4.7
28,Elvin Hayes,7.5,1975,0,0
29,John Havlicek,7.3,1975,0,3.7
30,Fred Brown,7.0,1975,0,3.3
31,Clifford Ray,6.9,1975,0,4.4
32,Sidney Wicks,6.9,1975,0,0
33,Wes Unseld,6.8,1975,0,0
34,Norm Van Lier,6.6,1975,0,3.6
35,Pete Maravich,6.2,1975,0,3.1
36,Calvin Murphy,6.0,1975,0,3.7
37,Phil Chenier,5.8,1975,0,0
38,Randy Smith,5.6,1975,0,0
39,Chet Walker,5.6,1975,0,0
40,Kareem Abdul-Jabbar,26.8,1976,0,16.4
41,Bob Lanier,20.5,1976,0,15.4
42,Bob McAdoo,17.4,1976,0,11.5
43,Walt Frazier,16.5,1976,0,12.6
44,Rick Barry,15.9,1976,0,11.6
45,Dave Cowens,14.0,1976,0,8.5
46,Sam Lacey,13.1,1976,0,9.8
47,Wes Unseld,12.4,1976,0,6.8
48,Randy Smith,9.9,1976,0,5.6
49,Fred Brown,9.6,1976,0,7.0
50,Elvin Hayes,9.6,1976,0,7.5
51,Pete Maravich,9.6,1976,0,6.2
52,Clifford Ray,9.5,1976,0,6.9
53,John Havlicek,9.4,1976,0,7.3
54,Sidney Wicks,9.4,1976,0,6.9
55,Calvin Murphy,9.3,1976,0,6.0
56,Norm Van Lier,9.3,1976,0,6.6
57,Phil Chenier,9.0,1976,0,5.8
58,Tiny Archibald,8.9,1976,0,0
59,Steve Mix,8.9,1976,0,3.5
60,Kareem Abdul-Jabbar,36.6,1977,0,26.8
61,Bob Lanier,25.3,1977,0,20.5
62,Bob McAdoo,21.2,1977,0,17.4
63,Rick Barry,19.6,1977,0,15.9
64,Walt Frazier,19.2,1977,0,16.5
