,name,value,year,rank,prevValue
0,Bob Feerick,18.6,1947,0,0
1,Joe Fulks,16.3,1947,0,0
2,Ed Sadowski,11.8,1947,0,0
3,Stan Miasek,10.3,1947,0,0
4,Johnny Norlander,9.7,1947,0,0
5,Max Zaslofsky,9.6,1947,0,0
6,John Logan,9.2,1947,0,0
7,Fred Scolari,8.5,1947,0,0
8,Coulby Gunther,8.4,1947,0,0
9,Leo Mogus,7.7,1947,0,0
10,Chick Halbert,7.4,1947,0,0
11,Bones McKinney,7.1,1947,0,0
12,Earl Shannon,7.0,1947,0,0
13,Connie Simmons,6.1,1947,0,0
14,John Janisch,6.0,1947,0,0
15,Howie Dallmar,5.9,1947,0,0
16,Don Carlson,5.8,1947,0,0
17,Ernie Calverley,5.5,1947,0,0
18,Art Hillhouse,5.4,1947,0,0
19,Irv Torgoff,5.4,1947,0,0
20,Bob Feerick,29.1,1948,0,18.6
21,Joe Fulks,22.3,1948,0,16.3
22,Ed Sadowski,21.2,1948,0,11.8
23,Max Zaslofsky,19.0,1948,0,9.6
24,John Logan,17.5,1948,0,9.2
25,Stan Miasek,15.8,1948,0,10.3
26,Johnny Norlander,15.5,1948,0,9.7
27,Fred Scolari,14.1,1948,0,8.5
28,Howie Dallmar,12.9,1948,0,5.9
29,Bud Palmer,11.3,1948,0,0
30,Chick Halbert,10.7,1948,0,7.4
31,Bones McKinney,10.4,1948,0,7.1
32,Coulby Gunther,8.4,1948,0,8.4
33,Buddy Jeannette,8.2,1948,0,0
34,Jim Seminoff,7.9,1948,0,0
35,Leo Mogus,7.7,1948,0,7.7
36,Earl Shannon,7.6,1948,0,7.0
37,Belus Smawley,7.5,1948,0,0
38,Red Rocha,7.2,1948,0,0
39,Connie Simmons,7.2,1948,0,6.1
40,Bob Feerick,38.0,1949,0,29.1
41,Ed Sadowski,31.9,1949,0,21.2
42,Joe Fulks,30.0,1949,0,22.3
43,Max Zaslofsky,29.2,1949,0,19.0
44,John Logan,22.6,1949,0,17.5
45,George Mikan,20.9,1949,0,0
46,Johnny Norlander,19.6,1949,0,15.5
47,Stan Miasek,19.3,1949,0,15.8
48,Bud Palmer,18.5,1949,0,11.3
49,Fred Scolari,17.2,1949,0,14.1
50,Bones McKinney,15.4,1949,0,10.4
51,Howie Dallmar,15.1,1949,0,12.9
52,Chick Halbert,13.6,1949,0,10.7
53,Jim Seminoff,13.3,1949,0,7.9
54,Buddy Jeannette,13.1,1949,0,8.2
55,Belus Smawley,12.8,1949,0,7.5
56,Leo Mogus,12.6,1949,0,7.7
57,Connie Simmons,12.5,1949,0,7.2
58,Red Rocha,12.3,1949,0,7.2
59,Kenny Sailors,11.8,1949,0,0
60,George Mikan,42.0,1950,0,20.9
61,Bob Feerick,41.7,1950,0,38.0
62,Max Zaslofsky,37.6,1950,0,29.2
63,Ed Sadowski,36.2,1950,0,31.9
64,Joe Fulks,29.2,1950,0,30.0
65,John Logan,26.9,1950,0,22.6
66,Stan Miasek,25.1,1950,0,19.3
67,Fred Scolari,22.6,1950,0,17.2
68,Leo Mogus,20.6,1950,0,12.6
69,Johnny Norlander,20.3,1950,0,19.6
70,Red Rocha,19.3,1950,0,12.3
71,Andy Phillip,18.9,1950,0,0
72,Carl Braun,18.7,1950,0,0
73,Bud Palmer,18.5,1950,0,18.5
74,Alex Groza,17.9,1950,0,0
75,Belus Smawley,17.8,1950,0,12.8
76,Bobby Wanzer,17.5,1950,0,0
77,Chick Halbert,17.3,1950,0,13.6
78,Jim Seminoff,16.9,1950,0,13.3
79,Bob Davies,16.3,1950,0,0
80,George Mikan,65.4,1951,0,42.0
81,Bob Feerick,41.7,1951,0,41.7
82,Max Zaslofsky,40.3,1951,0,37.6
83,Ed Sadowski,36.2,1951,0,36.2
84,Alex Groza,35.9,1951,0,17.9
85,Joe Fulks,33.4,1951,0,29.2
86,Andy Phillip,28.6,1951,0,18.9
87,John Logan,27.8,1951,0,26.9
88,Ed Macauley,26.5,1951,0,0
89,Stan Miasek,25.1,1951,0,25.1
90,Arnie Risen,24.5,1951,0,0
91,Bobby Wanzer,24.4,1951,0,17.5
92,Red Rocha,23.9,1951,0,19.3
93,Belus Smawley,23.4,1951,0,17.8
94,Bob Davies,23.1,1951,0,16.3
95,Arnie Johnson,23.1,1951,0,0
96,Dolph Schayes,23.1,1951,0,0
97,Fred Scolari,22.6,1951,0,22.6
98,Leo Mogus,21.9,1951,0,20.6
99,Johnny Norlander,20.5,1951,0,20.3
100,George Mikan,79.8,1952,0,65.4
101,Max Zaslofsky,42.0,1952,0,40.3
102,Bob Feerick,41.7,1952,0,41.7
103,Ed Macauley,40.3,1952,0,26.5
104,Ed Sadowski,36.2,1952,0,36.2
105,Alex Groza,35.9,1952,0,35.9
106,Bobby Wanzer,35.7,1952,0,24.4
107,Andy Phillip,33.4,1952,0,28.6
108,Arnie Johnson,31.8,1952,0,23.1
109,Red Rocha,31.8,1952,0,23.9
110,Joe Fulks,31.7,1952,0,33.4
111,Dolph Schayes,31.6,1952,0,23.1
112,Arnie Risen,31.4,1952,0,24.5
113,Vern Mikkelsen,31.3,1952,0,0
114,Paul Arizin,29.7,1952,0,0
115,Bob Davies,29.4,1952,0,23.1
116,Stan Miasek,29.1,1952,0,25.1
117,John Logan,27.8,1952,0,27.8
118,Harry Gallatin,27.1,1952,0,0
119,Fred Scolari,27.1,1952,0,22.6
120,George Mikan,94.4,1953,0,79.8
121,Ed Macauley,54.8,1953,0,40.3
122,Dolph Schayes,44.7,1953,0,31.6
123,Max Zaslofsky,43.7,1953,0,42.0
124,Bobby Wanzer,43.6,1953,0,35.7
125,Vern Mikkelsen,43.3,1953,0,31.3
126,Bob Feerick,41.7,1953,0,41.7
127,Arnie Johnson,39.3,1953,0,31.8
128,Harry Gallatin,38.4,1953,0,27.1
129,Red Rocha,38.2,1953,0,31.8
130,Arnie Risen,37.2,1953,0,31.4
131,Bob Davies,36.8,1953,0,29.4
132,Ed Sadowski,36.2,1953,0,36.2
133,Alex Groza,35.9,1953,0,35.9
134,Andy Phillip,33.4,1953,0,33.4
135,Stan Miasek,31.2,1953,0,29.1
136,Joe Fulks,31.0,1953,0,31.7
137,Paul Arizin,29.7,1953,0,29.7
138,Fred Scolari,29.7,1953,0,27.1
139,John Logan,27.8,1953,0,27.8
140,George Mikan,107.1,1954,0,94.4
141,Ed Macauley,69.4,1954,0,54.8
142,Dolph Schayes,59.4,1954,0,44.7
143,Bobby Wanzer,52.7,1954,0,43.6
144,Harry Gallatin,50.2,1954,0,38.4
145,Vern Mikkelsen,49.9,1954,0,43.3
146,Max Zaslofsky,47.4,1954,0,43.7
147,Arnie Risen,45.0,1954,0,37.2
148,Bob Davies,44.5,1954,0,36.8
149,Bob Feerick,41.7,1954,0,41.7
150,Andy Phillip,40.4,1954,0,33.4
151,Arnie Johnson,39.3,1954,0,39.3
152,Red Rocha,38.2,1954,0,38.2
153,Neil Johnston,37.0,1954,0,0
154,Carl Braun,36.2,1954,0,18.7
155,Ed Sadowski,36.2,1954,0,36.2
156,Alex Groza,35.9,1954,0,35.9
157,Jim Pollard,32.8,1954,0,0
