index,name,date,ageY,ageD,location,team,opponent,gameResult,margin,started,minutesPlayed,fg,fga,fg3,fg3a,fg3pct,ft,fta,ftpct,orb,drb,trb,assists,steals,blocks,turnovers,personalFouls,points,gameScore,plusMinus
0,LeBron James,2003-10-29,18,303,@,CLE,SAC,L,-14,1,42.00,12,20,0,2,.000,1,3,.333,2,4,6,9,4,0,2,3,25,24.7,-9
1,LeBron James,2003-10-30,18,304,@,CLE,PHO,L,-9,1,41.00,8,17,1,5,.200,4,7,.571,2,10,12,8,1,0,7,1,21,14.7,-3
2,LeBron James,2003-11-01,18,306,@,CLE,POR,L,-19,1,39.00,3,12,0,1,.000,2,2,1.000,0,4,4,6,2,0,2,3,8,5.0,-21
3,LeBron James,2003-11-05,18,310,0,CLE,DEN,L,-4,1,41.00,3,11,0,2,.000,1,1,1.000,2,9,11,7,2,3,2,1,7,11.2,-3
4,LeBron James,2003-11-07,18,312,@,CLE,IND,L,-1,1,44.00,8,18,1,2,.500,6,7,.857,0,5,5,3,0,0,7,2,23,9.0,-7
5,LeBron James,2003-11-08,18,313,0,CLE,WAS,W,+13,1,45.00,8,19,0,0,0,1,4,.250,5,3,8,9,1,1,2,1,17,15.7,+14
6,LeBron James,2003-11-10,18,315,0,CLE,NYK,W,+14,1,34.00,7,12,3,3,1.000,0,0,0,1,4,5,4,1,1,2,0,17,15.8,+20
7,LeBron James,2003-11-12,18,317,@,CLE,MIA,L,-5,1,42.00,6,15,2,5,.400,4,6,.667,1,2,3,7,2,1,4,3,18,12.8,-4
8,LeBron James,2003-11-14,18,319,@,CLE,BOS,L,-9,1,35.00,3,12,2,4,.500,2,4,.500,1,4,5,3,0,0,4,3,10,0.8,-1
9,LeBron James,2003-11-15,18,320,0,CLE,PHI,W,+3,1,47.00,10,19,0,1,.000,2,4,.500,0,5,5,8,1,2,5,2,22,15.6,+8
10,LeBron James,2003-11-18,18,323,0,CLE,LAC,W,+8,1,39.00,6,16,0,2,.000,2,4,.500,2,5,7,8,0,1,3,2,14,9.8,+1
11,LeBron James,2003-11-19,18,324,@,CLE,WAS,L,-11,1,40.00,10,18,2,4,.500,6,8,.750,2,5,7,8,2,1,4,2,28,25.0,-5
12,LeBron James,2003-11-21,18,326,0,CLE,MIN,L,-14,1,36.00,8,19,0,2,.000,3,3,1.000,2,7,9,2,1,0,1,4,19,12.2,-5
13,LeBron James,2003-11-22,18,327,@,CLE,ATL,L,-9,1,42.00,3,16,0,1,.000,9,10,.900,2,4,6,4,2,1,3,1,15,9.3,-6
14,LeBron James,2003-11-26,18,331,@,CLE,NOH,L,-10,1,39.00,5,17,1,4,.250,4,4,1.000,2,6,8,9,0,0,4,1,15,10.2,-13
15,LeBron James,2003-11-28,18,333,@,CLE,DET,L,-4,1,36.00,2,8,0,2,.000,2,3,.667,0,2,2,7,0,0,4,3,6,1.1,-10
16,LeBron James,2003-11-29,18,334,0,CLE,MEM,L,-7,1,55.00,14,28,3,6,.500,2,3,.667,2,14,16,7,1,1,8,1,33,22.4,-10
17,LeBron James,2003-12-02,18,337,@,CLE,DEN,L,-12,1,32.00,6,19,2,3,.667,5,7,.714,3,3,6,5,2,0,2,4,19,12.2,-12
18,LeBron James,2003-12-03,18,338,@,CLE,LAC,L,-10,1,34.00,2,13,0,3,.000,0,0,0,4,2,6,8,2,0,5,2,4,0.9,+3
19,LeBron James,2003-12-06,18,341,0,CLE,ATL,W,+10,1,36.00,4,12,0,2,.000,0,0,0,1,5,6,5,2,1,3,2,8,5.8,-5
20,LeBron James,2003-12-09,18,344,0,CLE,TOR,L,-7,1,37.00,7,16,0,0,0,4,4,1.000,0,5,5,3,1,0,2,2,18,11.4,-2
21,LeBron James,2003-12-11,18,346,0,CLE,DET,W,+9,1,43.00,8,21,1,3,.333,6,8,.750,1,2,3,9,1,1,4,3,23,14.8,+9
22,LeBron James,2003-12-13,18,348,0,CLE,BOS,L,-7,1,45.00,10,20,1,5,.200,16,18,.889,1,2,3,4,0,0,2,2,37,27.5,-2
23,LeBron James,2003-12-15,18,350,@,CLE,IND,L,-10,1,44.00,10,16,0,3,.000,7,8,.875,1,3,4,6,3,3,6,1,27,23.9,-12
24,LeBron James,2003-12-17,18,352,0,CLE,HOU,L,-4,1,36.00,7,19,2,4,.500,1,2,.500,0,1,1,3,0,0,2,2,17,5.7,-9
25,LeBron James,2003-12-19,18,354,@,CLE,PHI,W,+7,1,42.00,14,24,5,7,.714,3,3,1.000,1,3,4,5,4,0,4,1,36,29.5,+9
26,LeBron James,2003-12-20,18,355,@,CLE,CHI,W,+8,1,42.00,11,22,0,5,.000,10,12,.833,1,5,6,10,2,2,4,2,32,28.0,+9
27,LeBron James,2003-12-23,18,358,0,CLE,NOH,W,+11,1,39.00,7,22,1,6,.167,7,8,.875,2,4,6,2,6,1,5,1,22,14.3,+9
28,LeBron James,2003-12-25,18,360,@,CLE,ORL,L,-12,1,47.00,13,28,4,10,.400,4,5,.800,1,1,2,6,2,1,8,0,34,19.1,-9
29,LeBron James,2003-12-26,18,361,0,CLE,CHI,L,-7,1,34.00,7,24,1,4,.250,3,4,.750,1,2,3,4,1,2,5,0,18,5.1,-12
30,LeBron James,2003-12-28,18,363,0,CLE,POR,W,+12,1,39.00,15,23,0,2,.000,2,2,1.000,3,7,10,9,3,0,5,1,32,30.0,+11
31,LeBron James,2003-12-30,19,000,0,CLE,IND,L,-3,1,38.00,9,20,0,4,.000,4,6,.667,2,8,10,4,0,0,4,2,22,12.6,-2
32,LeBron James,2004-01-02,19,003,@,CLE,NJN,L,-15,1,37.00,6,19,0,4,.000,2,4,.500,1,3,4,9,1,0,3,2,14,7.4,-14
33,LeBron James,2004-01-06,19,007,0,CLE,NYK,W,+11,1,41.00,6,17,0,2,.000,2,2,1.000,0,4,4,10,1,1,4,1,14,10.0,+10
34,LeBron James,2004-01-07,19,008,@,CLE,TOR,L,-6,1,38.00,10,23,0,3,.000,1,2,.500,0,2,2,5,0,0,2,3,21,9.4,-2
35,LeBron James,2004-01-09,19,010,@,CLE,BOS,L,-25,1,43.00,7,19,0,3,.000,5,7,.714,0,3,3,6,3,0,5,1,19,10.4,-30
36,LeBron James,2004-01-12,19,013,@,CLE,LAL,L,-10,1,37.00,6,20,0,3,.000,4,5,.800,1,4,5,7,1,1,6,3,16,5.3,+3
37,LeBron James,2004-01-13,19,014,@,CLE,SEA,W,+8,1,44.00,11,26,0,1,.000,5,6,.833,4,5,9,9,2,0,4,2,27,20.6,+11
38,LeBron James,2004-01-15,19,016,@,CLE,GSW,L,-17,1,43.00,8,21,2,5,.400,11,13,.846,2,4,6,6,3,0,2,0,29,24.5,-14
39,LeBron James,2004-01-17,19,018,@,CLE,UTA,W,+6,1,45.00,12,28,2,4,.500,3,5,.600,1,6,7,2,2,1,4,2,29,15.2,+8
40,LeBron James,2004-01-26,19,027,0,CLE,ORL,W,+1,1,30.00,7,19,1,2,.500,1,2,.500,0,5,5,3,0,2,3,4,16,5.5,-10
41,LeBron James,2004-01-28,19,029,0,CLE,MIA,W,+1,1,44.00,10,25,0,1,.000,7,10,.700,0,5,5,4,2,1,1,1,27,17.9,+2
42,LeBron James,2004-01-30,19,031,@,CLE,MIL,L,-6,1,37.00,7,25,1,6,.167,5,8,.625,2,6,8,3,1,0,5,5,20,3.4,+3
43,LeBron James,2004-02-01,19,033,@,CLE,WAS,W,+4,1,43.00,14,27,1,2,.500,9,11,.818,3,3,6,4,0,2,6,4,38,23.5,0
